epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,3.574378107604571,0.36,1.4498700094223025,2.211283201461192,0.53
2,1.9128034771714533,0.64,1.4266113066673278,1.4439858686510707,0.7
3,1.3307016187704266,0.705,1.4491280341148376,1.904544207240105,0.67
4,1.3369378082619892,0.73,1.4464972400665284,1.307387453456288,0.67
5,1.6060783869953617,0.72,1.5261511969566346,1.3161646975691474,0.72
6,1.6602097771346498,0.705,1.4604751014709472,1.6499155762220834,0.69
7,1.5496679181769697,0.75,1.4321933317184448,1.910360089359417,0.73
8,2.2431513670702303,0.71,1.45262366771698,2.26857289415056,0.7
9,1.3848504580677548,0.78,1.4641005611419675,1.6711421856229958,0.77
10,1.855342812537484,0.78,1.4610831069946288,1.9484434421489845,0.74
11,1.9641625224853765,0.73,1.4977365016937256,0.969587454965795,0.83
12,1.927315734680442,0.775,1.548747193813324,2.337365241812976,0.7
13,2.218713532747777,0.75,1.4314323616027833,2.427787869336851,0.68
14,1.2813342576049331,0.825,1.4653427696228027,1.452704618289846,0.8
15,1.640174645119954,0.82,1.5603648900985718,1.1804830783804108,0.81
16,0.8611287465028359,0.86,1.4714277911186218,1.3015375093318118,0.79
17,2.0661307120133245,0.77,1.4612006592750548,1.142604557245976,0.77
18,1.332181537539463,0.85,1.4398671102523803,3.253079792233521,0.66
19,0.7529325052847142,0.875,1.4399777197837829,1.533642510760127,0.81
20,1.314539612615877,0.825,1.4290959095954896,1.5210959457345965,0.81
21,1.2523305879182005,0.815,1.4446193981170654,0.9418800805791704,0.86
22,1.3845696489408597,0.855,1.4715682101249694,1.8408827806683128,0.75
23,1.575557795203806,0.84,1.444821276664734,2.215301080683935,0.77
24,1.868321370264148,0.79,1.4444455552101134,2.275850875317182,0.71
25,2.46240568834836,0.75,1.4522743892669678,1.337646390167574,0.8
26,1.1270993605388613,0.85,1.4516948127746585,1.5799879844924478,0.81
27,2.019774178794513,0.785,1.4312230038642884,1.7139122170250571,0.83
28,1.2931518845277852,0.835,1.434026358127594,1.1145694268833108,0.85
29,0.9873847849146176,0.86,1.400426766872406,1.48592022452688,0.83
30,1.4647308948577176,0.86,1.436524155139923,2.472875201548504,0.75
31,1.3919336423513935,0.85,1.433897099494934,1.403009303955928,0.83
32,1.2968022983953995,0.85,1.4622936820983887,3.2021140633245824,0.73
33,1.5673388829973234,0.86,1.4224186754226684,0.9962745869754238,0.89
34,1.1296099807759812,0.89,1.4216902232170106,1.0127458290492808,0.87
35,1.3117620046459093,0.85,1.4235403990745543,1.4639683466401834,0.85
36,1.808196241575752,0.855,1.4167172622680664,1.5310280924170332,0.85
37,1.266670018609392,0.855,1.4599685645103455,1.749449917442996,0.85
38,1.7012907774745316,0.845,1.4575061345100402,0.9543485112126274,0.9
39,1.1423596914042813,0.88,1.4996162056922913,2.162908643691138,0.81
40,1.0360549262138874,0.835,1.4805765867233276,2.2309163365254085,0.81
41,1.1373105631669205,0.89,1.5556805181503297,1.7892680957484328,0.83
42,1.8008549132181424,0.85,1.4226885747909546,1.875029371186024,0.82
43,1.7403269723075032,0.84,1.4194706630706788,1.6302067523719443,0.81
44,1.9111724313622973,0.8,1.4318211936950684,2.2807622592459573,0.77
45,1.852708025372356,0.815,1.4162001061439513,1.6928425539050744,0.83
46,1.5162271403127738,0.825,1.4278551030158997,1.724846554510883,0.8
47,1.4481863662293637,0.875,1.4144191336631775,1.0794344130984357,0.87
48,0.9056832584605428,0.885,1.434109308719635,1.2210827511664797,0.88
49,1.7758743087104614,0.875,1.4173144817352294,1.6687745631237174,0.82
50,1.5720505115550207,0.875,1.4387211871147156,2.2875088467788194,0.83
