epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,8.22287211617455,0.365,2.2178868150711057,3.816594286182172,0.5
2,4.3043574522645365,0.52,2.2141676568984985,7.818284093942493,0.4
3,5.270589035786258,0.53,2.223554310798645,4.333091348914494,0.58
4,3.862532114765696,0.655,2.2471799564361574,5.542732865951532,0.66
5,6.710632853718612,0.595,2.245357253551483,7.309462392691585,0.47
6,4.884204871404872,0.575,2.28061450958252,4.736349477390995,0.65
7,4.047998787211235,0.645,2.2757084250450133,2.4138398713168696,0.7
8,4.126836907213551,0.67,2.275107753276825,4.864328019854241,0.67
9,4.948507000527276,0.65,2.2895143675804137,2.140449877143869,0.83
10,4.983210450693324,0.675,2.2791853237152098,2.915222833503888,0.76
11,3.636058657622466,0.705,2.303549139499664,2.5506681744410145,0.73
12,6.236277610048758,0.645,2.2668069076538084,1.9390477738937213,0.77
13,4.111414747781484,0.645,2.2686988139152526,1.3940486439588156,0.87
14,3.90865710584868,0.725,2.269807617664337,5.018505376485591,0.66
15,4.482857311605014,0.715,2.2732359862327574,3.263698142564956,0.73
16,3.515038969434471,0.77,2.294010524749756,3.952862451027475,0.74
17,4.636011939940826,0.755,2.351211528778076,5.073402167798531,0.64
18,3.5320963006083854,0.75,2.3806606411933897,7.123936098617324,0.67
19,4.068156370699848,0.725,2.4339301323890687,2.778285484124788,0.74
20,4.759148696826326,0.685,2.4730304169654844,4.597559477511059,0.71
21,4.94154861198958,0.675,2.470709502696991,4.985466191150792,0.74
22,3.852674410039191,0.74,2.5239009261131287,4.132445361597177,0.78
23,3.4813471051164684,0.785,2.6058431601524354,5.954669684603059,0.7
24,4.821013733915183,0.71,2.5296173667907715,7.047029330887849,0.68
25,4.731885210999187,0.715,2.5121733379364013,5.8218774020911095,0.69
26,3.9256130528168818,0.76,2.554054560661316,2.95028391686299,0.83
27,3.205158859687507,0.755,2.591541357040405,5.267716078878953,0.74
28,3.979224144050877,0.785,2.522565984725952,3.304378532396919,0.78
29,3.3010280290780725,0.775,2.5676070475578308,4.872983104191662,0.69
30,4.234038556372811,0.755,2.550583655834198,3.934633682356715,0.79
31,3.258421704996772,0.79,2.556596233844757,7.937474763077745,0.67
32,3.5714527280311783,0.785,2.531734356880188,3.415351082395488,0.87
33,2.381313512831921,0.84,2.6078916573524475,3.7614044394984334,0.86
34,3.2613323715405613,0.795,2.533510653972625,2.9107769996230486,0.87
35,4.728608656857949,0.735,2.545893747806549,2.4841382840602906,0.86
36,4.844630132074845,0.79,2.548051235675812,5.13764089402641,0.75
37,3.6424351791169176,0.8,2.5715092396736146,3.3694859990542447,0.82
38,3.896411864345629,0.82,2.529103965759277,5.256081738720845,0.76
39,3.4117174345049976,0.805,2.579256541728973,1.0503213162666512,0.93
40,3.836057689240346,0.79,2.524078116416931,8.760784984204252,0.68
41,4.9464552745374935,0.755,2.506921706199646,5.477661589996831,0.77
42,5.633207422716295,0.765,2.502749390602112,3.5374906390810485,0.8
43,5.235323649585937,0.77,2.540136239528656,7.4872656531154815,0.69
44,4.581350961107424,0.785,2.551935594081878,4.419998439312642,0.72
45,4.839687247439891,0.79,2.5842327070236206,4.583043794195215,0.79
46,3.975154123492632,0.805,2.6113781118392945,9.851157399543654,0.59
47,5.0542639523724,0.805,2.574036705493927,3.0947239396354145,0.84
48,3.2561842676780635,0.815,2.573600986003876,5.054787834500567,0.72
49,3.5323726308415355,0.77,2.5351772832870485,5.022937177268442,0.72
50,7.221488153968661,0.71,2.5337843918800353,3.4218185199302935,0.84
