epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,2.974608973004215,0.39,64.82458063840866,1.587131978906691,0.53
2,1.674163861066154,0.615,51.1654937672615,1.5931190676177358,0.67
3,1.27398090113551,0.68,46.29947483539581,1.3142692474171054,0.71
4,1.55391433410069,0.7,64.5777633357048,1.5644730381322598,0.66
5,2.047620595139683,0.64,46.30871202707291,2.2027079368475824,0.54
6,1.878192491037028,0.645,60.96437395572662,1.0334748221595147,0.75
7,1.4972758105809998,0.66,50.44454686641693,0.9552259596659948,0.83
8,1.3566910238240362,0.74,52.42797743082046,1.8247641380830784,0.69
9,1.5956296066630933,0.71,63.67261805057526,1.9087379231596548,0.69
10,1.6980383165810795,0.74,55.76203327417374,1.76528662503541,0.69
11,1.4641121027682111,0.72,48.02058196306229,1.0223625842261026,0.78
12,1.6027607024087411,0.72,59.18489896774292,0.7831264696149254,0.85
13,2.064515518636053,0.69,59.03558584690094,1.2644611033010065,0.79
14,1.476273920738381,0.765,55.50471399068832,1.234711574441626,0.81
15,1.2880801956122965,0.815,55.7025937962532,1.954878667581249,0.78
16,1.6700411030943878,0.74,52.21926045179367,2.0069802289538914,0.71
17,2.0931803061684504,0.71,57.37395402193069,2.0264496061848205,0.65
18,1.774701215890974,0.705,70.30736322641373,2.954231243481835,0.6
19,1.3014483130497774,0.815,53.026671171188354,1.3252524179672085,0.78
20,2.099227467244108,0.72,48.79076663732528,1.5502389718093128,0.76
21,1.580662490250308,0.735,52.1581662774086,0.931620445640608,0.82
22,1.637284149283107,0.78,54.43758866548538,2.1419836220388,0.69
23,1.4902267842254877,0.79,69.87445566177368,1.5568874394793943,0.81
24,1.4494463329537874,0.8,46.28572377443314,2.487394288241197,0.69
25,1.704782898311299,0.75,46.28961203813553,2.576025335830936,0.71
26,1.4462053676642967,0.795,46.32634424924851,1.2605451523043962,0.76
27,1.491799305372825,0.75,52.39650270462036,2.0436028793308374,0.78
28,1.470759844731805,0.805,54.5385409116745,1.372053573593064,0.82
29,1.2931670105238582,0.79,56.79402957201004,1.3822497910648592,0.8
30,2.145919516413449,0.74,60.46881432056427,1.75025427919987,0.71
31,1.798854426334901,0.815,69.00582763910293,1.355001207146051,0.78
32,1.591280370678566,0.765,53.34372710466385,2.79374345564482,0.71
33,1.7473149420916052,0.8,54.2539800286293,1.77135372612211,0.79
34,1.4123414897773503,0.805,54.37277045249939,0.9583365075247724,0.83
35,1.3011194230831329,0.81,66.3086325454712,2.045976122135672,0.74
36,1.3515845443700174,0.84,60.90471200466156,1.0425697926709392,0.84
37,1.037480059968491,0.85,57.474752724170685,1.6524328190322268,0.77
38,1.5985306771769234,0.805,51.4336209988594,2.090189901047286,0.73
39,1.827450086042121,0.76,59.75264962434769,1.354091492455114,0.83
40,1.2147061710456457,0.795,58.90969656705856,1.9764860562367608,0.79
41,1.261840995485005,0.83,58.761007709503176,1.49112209275694,0.82
42,1.5829682897151596,0.82,49.021995644569394,1.94046779500596,0.76
43,1.71497653150831,0.81,59.31064465999603,1.651565152927,0.77
44,1.99787819327901,0.725,65.00033088445663,1.3965445554500502,0.79
45,1.7963794652690408,0.78,55.23071501255036,1.77042374250994,0.77
46,1.707114117137979,0.775,51.41989563941956,1.7062172194716403,0.75
47,1.755666143429352,0.785,46.325968742370605,1.122291279723949,0.85
48,1.676412672852419,0.815,46.16129101991653,2.023574638368436,0.75
49,1.399734893142285,0.805,46.23918134689331,1.7011669089081294,0.77
50,1.6236840531851202,0.8,46.2501424574852,2.087236300577831,0.76
