epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,4.0256996050202,0.435,1.3440903902053831,2.676596766942821,0.57
2,2.187065095104799,0.625,1.3128511023521423,2.82894792205817,0.62
3,1.92007385207384,0.68,1.3668682885169985,1.7778029127738408,0.67
4,1.4519968790631492,0.735,1.3458337211608886,1.6380553677792975,0.68
5,2.3500898668915147,0.69,1.3436864042282104,4.153522436531785,0.53
6,2.758260005464089,0.665,1.3386459159851074,2.324760547883591,0.69
7,2.25819706568008,0.71,1.3494463682174682,2.382481269916494,0.66
8,2.0198172561951235,0.735,1.3498797082901002,2.292704401261449,0.68
9,2.3085547589584747,0.705,1.3176383399963378,2.87756457349132,0.7
10,2.717718106949832,0.735,1.3729596042633057,2.2818200902578987,0.74
11,2.4317903596421697,0.755,1.349651644229889,1.6269076568295322,0.8
12,2.527781968672001,0.73,1.3447591614723209,2.0855371782455494,0.73
13,2.871245599812005,0.745,1.3543787837028505,2.1756691559951635,0.76
14,1.7507341738975868,0.78,1.3492371606826783,1.4785801862473742,0.78
15,1.5136993404050392,0.83,1.3401834678649902,2.590022058312995,0.71
16,1.7631824029945573,0.8,1.366758234500885,2.4726499271405373,0.74
17,3.157053336587786,0.745,1.3385122442245485,3.880236298263765,0.7
18,2.155978097583352,0.76,1.3676271867752074,6.665224714851738,0.61
19,1.6385308308816449,0.86,1.3260479187965393,1.590836199692455,0.8
20,2.2428089859181672,0.81,1.3793593382835387,2.091116462576627,0.79
21,1.8922201691673408,0.79,1.373527045249939,1.8381964980021344,0.84
22,1.6498360153309113,0.83,1.3538108563423157,2.1945905333219504,0.82
23,2.0864710830453066,0.83,1.360644509792328,2.5370359304411902,0.81
24,2.3455699170814035,0.765,1.3347735142707824,2.3178608347315675,0.8
25,1.9791663348979296,0.815,1.3171915817260742,3.572873313866316,0.73
26,1.923720554581087,0.83,1.3428246426582335,1.968116020502548,0.81
27,1.671150561683764,0.815,1.3568676924705505,2.989786870527928,0.78
28,1.4591826396342102,0.835,1.3516424679756165,1.424096396360044,0.84
29,1.274407089917296,0.845,1.322490839958191,2.973119227961972,0.74
30,2.495797801262324,0.765,1.3374903345108031,4.386624114322483,0.72
31,2.3300587077297,0.815,1.3455770587921143,3.866518137449588,0.7
32,2.531266296530008,0.76,1.4010654926300048,3.653234420120412,0.76
33,2.175574910316804,0.82,1.3260336470603944,2.906261824324497,0.78
34,1.674253053819362,0.855,1.3439980888366698,2.088440671062821,0.83
35,1.927571250458,0.835,1.3472097277641295,2.315676648224928,0.81
36,1.958261731170392,0.855,1.3133398985862732,2.015956671224377,0.84
37,2.175181284807836,0.82,1.3121451759338378,3.457302172624877,0.75
38,2.0697896569160714,0.835,1.3545372247695924,2.7094093021725247,0.77
39,1.968656546724211,0.82,1.3427193546295166,1.8851447958920269,0.86
40,1.5850443391371123,0.85,1.3467413783073423,4.335836722831111,0.76
41,1.368724999246318,0.86,1.3777485990524292,2.12546377717451,0.86
42,2.1188841752998933,0.86,1.33601571559906,1.6849042922710118,0.85
43,1.992865271556232,0.885,1.3449865245819093,2.8032400268341577,0.77
44,2.761896315345541,0.785,1.3542114448547364,2.2317288057901234,0.78
45,2.693674005475226,0.79,1.3549120950698852,1.553149706335035,0.86
46,2.051365435609146,0.845,1.3580295968055724,1.7498473386111877,0.83
47,1.6073302823331022,0.855,1.3431881523132323,2.622263855273921,0.83
48,2.3202086262800425,0.805,1.373580551147461,2.7499902705858448,0.79
49,1.5202620051849225,0.86,1.3477516436576844,3.363406201899312,0.76
50,2.0789059902507008,0.86,1.3400185298919678,6.921316744277825,0.67
