epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,2.963849142789841,0.125,3.958888683319092,2.4927482128143312,0.07
2,2.4274202293157576,0.135,3.937810785770416,2.247765116691589,0.22
3,2.102657420039177,0.275,3.9409156537055967,1.911045033931732,0.46
4,1.7685909804701805,0.42,3.935190486907959,1.7034186109900475,0.38
5,1.626640231013298,0.435,3.941999607086182,1.5188814151287078,0.47
6,1.5134979750216009,0.5,3.942413830757141,1.4518736377358437,0.41
7,1.456674280166626,0.5,3.955663993358612,1.2349877524375916,0.63
8,1.3273157796263697,0.585,3.9358474826812735,1.4031277012825012,0.65
9,1.2709689144790173,0.585,3.941291337013245,1.1155867049098014,0.68
10,1.1661127091944217,0.62,3.9411268186569215,1.110616794228554,0.63
11,1.1023505315184594,0.625,3.943996765613556,1.0122095775604247,0.68
12,1.10269591152668,0.655,3.9411534333229055,1.061754824221134,0.68
13,1.1625311686098576,0.62,3.951519923210144,0.9237173300981522,0.75
14,0.9905539252609016,0.685,3.9482936787605287,0.8766735476255417,0.74
15,1.0270433650538324,0.68,3.9408376455307006,1.0074946141242982,0.68
16,0.8631991461664438,0.72,3.940588688850403,0.8713563659787178,0.71
17,1.0114545569568874,0.72,3.941156094074249,1.0376023438572883,0.67
18,0.8318704494833946,0.77,3.941189653873443,1.1216024604439736,0.61
19,0.8365225869417191,0.74,3.9478708362579344,0.7751120568811893,0.79
20,0.9757796158641576,0.67,3.949370656013489,0.895012309551239,0.72
21,0.9501489226147533,0.675,3.9382828879356384,0.7804311457276344,0.74
22,0.8084344617277384,0.74,3.942856366634369,0.7947168865799904,0.72
23,0.8287661268189549,0.72,3.936036870479584,0.7421669088304043,0.69
24,0.8447078885510564,0.705,3.937271983623505,0.7858178155124187,0.75
25,1.0834200762026012,0.645,3.9533575344085694,0.811917325630784,0.73
26,0.8267052105162292,0.73,3.950232357978821,0.6113099922984838,0.82
27,0.8175340094603598,0.74,3.9419819116592407,0.7790133240818977,0.74
28,0.74954231755808,0.745,3.9399490547180176,0.7741578122973443,0.77
29,0.8513530773716047,0.71,3.9413171005249024,0.7225052046962083,0.77
30,0.8364455501735211,0.735,3.942067890167236,0.7048341617174446,0.76
31,0.7389672167599202,0.77,3.945411858558655,0.7435012060403824,0.78
32,0.7356657483056188,0.74,3.9527933692932127,0.723450243556872,0.76
33,0.6520202169194818,0.775,3.9412788677215578,0.7712453101575375,0.79
34,0.7628462586831302,0.715,3.947096376419067,0.6406064076721668,0.76
35,0.7315503618121147,0.735,3.940985095500946,0.6819672590121627,0.82
36,0.8070497198635712,0.72,3.9400471901893614,0.6752281691133976,0.82
37,0.6534741357155144,0.785,3.939571425914764,0.6427444409951568,0.77
38,0.5533424700144678,0.825,3.95390022277832,0.6328424841538072,0.81
39,0.769090031189844,0.75,3.9408749628067015,0.4683749810606241,0.85
40,0.6570440483069979,0.775,3.946055655479431,0.7333182132802903,0.73
41,0.625724486913532,0.79,3.940495843887329,0.5983730100467801,0.85
42,0.7286105654202402,0.77,3.9419634199142455,0.5298155669867992,0.85
43,0.6581028384761884,0.805,3.943011090755464,0.8380042554438114,0.73
44,0.8138534492533654,0.725,3.953244438171387,0.7081329059228301,0.77
45,0.7683141349535435,0.77,3.938990123271942,0.7245212937705219,0.74
46,0.7899900751840323,0.735,3.947242267131805,0.5997525291517377,0.82
47,0.5662909599021078,0.83,3.9398643922805774,0.6131543445959687,0.79
48,0.6919494966231287,0.755,3.942361650466919,0.6348170488700271,0.8
49,0.591723548527807,0.805,3.941146600246429,0.7102848652005196,0.77
50,0.8160267040040344,0.75,3.953091711997986,0.694714807420969,0.79
