epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,6.374281130468007,0.36,2.2985517239570616,2.305287217758432,0.56
2,2.780094566452874,0.595,2.318093767166138,5.155878399234061,0.37
3,4.162804138551717,0.53,2.332525968551636,3.4319883505383406,0.57
4,3.667116208869721,0.655,2.3348951625823973,4.28412698918828,0.6
5,4.760393194747667,0.58,2.287192509174347,2.50955443035519,0.59
6,3.712201248911393,0.65,2.318343482017517,1.6973586311046849,0.76
7,3.5028859669775496,0.665,2.2953433275222777,3.055072962069308,0.71
8,3.7115888867285447,0.68,2.299036791324616,2.5350777125764306,0.68
9,4.097640053172508,0.66,2.31204731464386,3.432452554090154,0.66
10,3.2895985661641363,0.755,2.317609186172485,2.237979437638736,0.76
11,3.13283269704482,0.695,2.3030919075012206,3.1692632460354493,0.78
12,4.424484501551024,0.705,2.278693072795868,3.0385618807377064,0.74
13,3.277093945968972,0.7,2.4329004192352297,1.7251881162979652,0.79
14,2.6477350891409714,0.76,2.5005215430259704,4.383466560012868,0.67
15,2.838165441429007,0.755,2.488744854927063,2.795321517201298,0.74
16,3.2923991959070147,0.735,2.562016541957856,4.22844742224817,0.61
17,5.546288505667913,0.655,2.5577207827568054,4.930314051441501,0.67
18,3.402848204162897,0.72,2.548786873817444,6.146935290271749,0.64
19,3.124423244108815,0.795,2.562652406692505,2.603993543428171,0.76
20,3.53417576523424,0.775,2.6007469391822813,5.037983737477823,0.75
21,4.242910481358124,0.72,2.5991272568702697,3.327749017209671,0.76
22,2.539727169705579,0.775,2.5833235692977907,2.157591416126852,0.84
23,2.8580208568722263,0.795,2.576745426654816,5.760644020514092,0.67
24,3.261682187214623,0.745,2.579727342128754,5.686051255850469,0.63
25,6.176579612875574,0.68,2.575208728313446,5.6663975245358245,0.7
26,3.3802637115728054,0.76,2.5705460143089294,2.8570823152388245,0.76
27,4.187622344991771,0.74,2.5716973042488096,4.605839997000362,0.77
28,3.883429388199296,0.77,2.5789215922355653,3.124640574649669,0.78
29,2.973795751842957,0.78,2.5897092771530152,2.541253171837167,0.82
30,4.07108812797371,0.765,2.6064408946037294,4.84448322608278,0.76
31,2.4891563884330297,0.78,2.530017716884613,4.796462535881419,0.71
32,3.2707228033464872,0.765,2.589293396472931,5.262018879208026,0.67
33,2.728398084449004,0.8,2.576443417072296,4.082688334939353,0.79
34,3.82990686687088,0.765,2.577565710544586,2.306931022265807,0.81
35,4.304364419557082,0.76,2.545682463645935,2.649450930682036,0.82
36,3.582165114195094,0.755,2.5848489022254943,4.7221152789241545,0.75
37,3.725904194878457,0.755,2.595740420818329,4.09100683736044,0.77
38,2.3137839207369155,0.845,2.6056771326065062,3.8754398200741287,0.77
39,3.507109243512245,0.78,2.5824701166152955,2.198523871558348,0.83
40,3.944091098996137,0.74,2.563236756324768,6.560533345895647,0.72
41,3.820448707113604,0.785,2.6079087042808533,5.399579377158566,0.8
42,3.750491908295014,0.8,2.5779340982437136,2.160342910100242,0.87
43,3.625575366842632,0.84,2.5741716718673704,3.636862022542456,0.78
44,3.723446953014693,0.77,2.600679521560669,3.658993845616876,0.75
45,4.222181915691444,0.765,2.58142103433609,4.240139032592424,0.82
46,3.4582909012866105,0.84,2.541799066066742,3.466254784975208,0.79
47,2.9844947496151364,0.82,2.599297957420349,3.6826357254501887,0.84
48,2.5115410100575337,0.845,2.562890639305115,4.18798080759137,0.78
49,2.427564578829821,0.835,2.557893161773681,4.808843416169761,0.76
50,6.194387044322951,0.725,2.5592299580574034,7.133538685646488,0.67
