epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,3.274655116158537,0.475,1.382087869644165,1.899200309026055,0.64
2,1.87743537553014,0.61,1.3548961138725282,2.467223540190896,0.6
3,1.7408098479447929,0.67,1.361801474094391,2.134801103224327,0.65
4,1.3285405362551217,0.73,1.4011217164993286,2.104612887756561,0.66
5,2.3000614748751467,0.65,1.34241961479187,2.4169269297008213,0.57
6,2.0676004412380653,0.685,1.362575092315674,1.7977426743003295,0.69
7,1.7444113512175423,0.715,1.3751246452331545,1.0897980872339543,0.83
8,1.7459687844377132,0.77,1.3496444845199584,3.0173291988190427,0.63
9,1.9333399396004496,0.745,1.3466064643859863,2.550717036451871,0.67
10,2.448368393210581,0.705,1.3301632761955262,1.9804750585855253,0.74
11,2.0658608900246893,0.725,1.3650467944145204,1.5009664860555312,0.78
12,2.3631276760098627,0.715,1.3680726218223571,1.8235537287325387,0.75
13,2.1695139648705024,0.745,1.3816407227516174,2.151680434878534,0.74
14,1.625773686397152,0.785,1.3546708345413208,2.2914848340570053,0.76
15,1.7456094306026932,0.81,1.3612583422660829,1.6146617560956111,0.81
16,1.4215114257058163,0.82,1.336745445728302,2.329042913938667,0.73
17,2.5768844351371785,0.78,1.3594322896003723,2.0107027967333697,0.75
18,1.7791453655866718,0.795,1.3480936074256895,4.846856430501891,0.61
19,1.1654325175134808,0.835,1.3472888946533204,1.1220992337535438,0.85
20,1.9148440357227776,0.785,1.35040664434433,1.4367557152043349,0.83
21,1.6304730121051676,0.825,1.3477335095405578,1.6964169602987806,0.74
22,1.4809953086422825,0.83,1.375875883102417,3.4610614046054407,0.67
23,1.6407312211084002,0.815,1.3502399301528931,2.2587490700393147,0.75
24,1.6378978793979326,0.795,1.3617129015922549,1.9803226901800384,0.78
25,2.245852412337439,0.785,1.353059046268463,2.9705014487464947,0.8
26,1.789292358321478,0.83,1.351426718235016,1.0794086661813254,0.81
27,1.7446266379483872,0.805,1.352559585571289,2.4566747768112323,0.68
28,1.1636325000635723,0.845,1.3481419277191162,1.0990993593082437,0.84
29,0.9155430352046808,0.835,1.3473680663108825,2.471792657509906,0.76
30,2.4368229238207944,0.78,1.3378178668022156,3.078039164208933,0.75
31,2.020690127606315,0.825,1.378746042251587,2.442282321303205,0.77
32,1.6081689000664403,0.825,1.3645153880119325,2.889163139270975,0.77
33,1.803333796763214,0.81,1.3481454396247865,1.563037937563547,0.85
34,1.3479279042358416,0.835,1.3327066349983214,1.8667189437619165,0.8
35,1.60103391646156,0.835,1.3718991303443908,2.51755143591268,0.78
36,1.4476474755747466,0.88,1.35392201423645,1.5177711092040012,0.89
37,1.1487636680322182,0.86,1.3319914889335631,2.727029506899671,0.77
38,1.5434142580763035,0.86,1.3555923199653626,1.4972479621446677,0.86
39,1.879164915781535,0.825,1.3629558849334718,1.3750136679509743,0.87
40,2.05799090876456,0.785,1.357996802330017,2.3668921444670854,0.84
41,1.5220040338859735,0.855,1.3409679174423217,1.7664836811346831,0.77
42,2.494504179929501,0.825,1.3625383520126342,1.425809178527818,0.85
43,1.679944908735481,0.825,1.3278217315673828,1.5675139055642504,0.84
44,2.2777845919958835,0.785,1.3809809255599976,1.9014163897899392,0.8
45,2.642486682381807,0.78,1.3494468116760254,1.92300800614888,0.86
46,1.7231929071269905,0.83,1.3192107152938843,1.345774538859249,0.86
47,1.6244963700681792,0.855,1.3719210052490234,1.412017625147981,0.89
48,1.869909044365898,0.815,1.3429562115669251,2.490976110756655,0.79
49,1.4302217794306074,0.86,1.3370819807052612,1.9715421523613053,0.83
50,2.4720415181594615,0.815,1.343440251350403,4.421964044747203,0.64
