epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,4.008065489055444,0.42,1.2007327055931092,2.585506187210558,0.54
2,2.2013025592765687,0.58,1.212766387462616,3.292894578382761,0.48
3,2.384623766477992,0.625,1.1756487441062928,3.137377328851221,0.6
4,2.215983366363088,0.71,1.1939201617240909,2.8855636722799853,0.64
5,3.450842663286071,0.64,1.205545859336853,2.68206383225288,0.6
6,3.089148818591265,0.63,1.2111976408958436,1.7292474726500169,0.77
7,2.6003547833376923,0.665,1.191928918361664,2.161251793037616,0.8
8,2.368780449837668,0.69,1.18771723985672,2.177401919737282,0.74
9,2.5611487996052085,0.71,1.2105030155181884,2.2269258098202207,0.71
10,3.029979982949617,0.71,1.1866657900810242,3.3874754864633343,0.64
11,2.5187747952202955,0.69,1.2037752866744995,2.374514264476852,0.74
12,3.515927007115128,0.655,1.189563977718353,1.8480164192700983,0.76
13,4.050180349690387,0.63,1.18796679019928,2.119773681837548,0.8
14,2.9984650293319417,0.725,1.2193279314041137,2.305269856645761,0.76
15,2.286051153958419,0.75,1.199273588657379,2.964681593314972,0.73
16,2.9047757468548387,0.745,1.199290850162506,4.418846214716141,0.62
17,2.973772784709312,0.77,1.2029710483551026,3.123696539068733,0.67
18,2.616271772487736,0.73,1.1716098189353945,5.4661615533532775,0.55
19,2.4032105817332194,0.795,1.198703110218048,3.533000173957344,0.7
20,3.0250655190670783,0.765,1.2068205618858336,2.510197816280691,0.76
21,2.256020700259546,0.755,1.1927349066734314,2.6246694527350733,0.78
22,2.8401127449306283,0.755,1.2120355033874513,3.8808496548162914,0.65
23,2.450858357977102,0.78,1.186300446987152,3.647517805859122,0.75
24,2.699277727006396,0.76,1.213409059047699,3.986174124870984,0.69
25,2.896708879073237,0.725,1.205456314086914,3.569323466908888,0.67
26,2.7466831694413014,0.75,1.2209364080429077,3.5304889631243763,0.67
27,3.1074828609907685,0.75,1.1913360524177552,4.227210172571765,0.72
28,2.302860565776698,0.765,1.206953375339508,1.620627687907305,0.85
29,1.9032894529730915,0.775,1.1925930500030515,2.9362434975205063,0.71
30,3.454505372866086,0.745,1.2005319595336914,3.406264837527765,0.73
31,2.8458178489987307,0.795,1.1814133048057556,2.2672709835171965,0.77
32,2.615345459433389,0.755,1.2326038455963135,2.27661909515509,0.77
33,2.391647174428805,0.78,1.1762754654884338,3.650626639872199,0.71
34,2.2031831364209498,0.76,1.1978248977661132,1.6145489520799683,0.81
35,2.70574645501926,0.795,1.1998916029930116,2.891550749555217,0.78
36,2.678492895730121,0.78,1.2003671026229858,2.131589212264748,0.84
37,2.2267638458788044,0.825,1.1952822041511535,3.2037153435226524,0.78
38,2.7394374683508227,0.8,1.159880223274231,3.406843413078716,0.72
39,3.3547847810304927,0.765,1.1752832198143006,3.1671396818737128,0.76
40,2.4374678808333736,0.78,1.195972933769226,3.591408345489498,0.75
41,2.289241598052792,0.785,1.190259816646576,2.189030375054142,0.81
42,2.9553011819794106,0.76,1.1874833154678344,3.265227452818989,0.78
43,3.138477310737356,0.8,1.1947076797485352,2.695992351327867,0.76
44,3.1208144119337544,0.765,1.2015884876251222,1.571131782004077,0.84
45,2.5097231058342904,0.805,1.2021736526489255,2.9316087156990784,0.8
46,3.031329486528904,0.765,1.2233243942260743,2.0919134878305603,0.82
47,2.82231805920832,0.78,1.18120938539505,2.1651937320268946,0.83
48,2.1675198883791698,0.765,1.211036331653595,2.865119379522465,0.75
49,2.763606934573768,0.78,1.1871301555633544,4.759369632598403,0.63
50,3.4641761360835766,0.74,1.2158264183998109,2.561230645030771,0.81
