epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,2.481080534160137,0.29,8.263948249816895,1.6212933361530304,0.48
2,1.350164478868246,0.525,8.282100434303283,1.4882555404305458,0.51
3,1.415252423081547,0.56,8.279734797477722,1.2048115350306037,0.61
4,1.074049868285656,0.64,8.257083485126495,1.1402415277983529,0.63
5,1.4601977731194349,0.545,7.813495783805847,1.40364595875144,0.51
6,1.3844457777542991,0.605,7.762631092071533,1.1115676387981512,0.61
7,1.1319362679868936,0.615,7.779031517505646,0.7794781229272485,0.71
8,1.28535759747494,0.655,7.784509260654449,1.3688463792507537,0.58
9,1.1960113491304218,0.675,7.784767215251922,1.1653820949187503,0.62
10,1.2145838621188887,0.65,7.789167215824127,1.0902724383911118,0.63
11,1.0304292076407,0.655,7.792673139572144,0.720298329256475,0.74
12,1.1408789805695414,0.655,8.068729200363158,0.8432373798638583,0.74
13,1.1650096963252872,0.625,8.206456577777862,0.6317577732959763,0.8
14,0.9737117165495874,0.71,7.7992700004577635,0.8030693369638174,0.73
15,1.1025142635055818,0.695,7.794341840744019,1.1765221590921282,0.65
16,0.7586292925057933,0.74,7.786422791481018,0.970999000063166,0.68
17,1.323518815636053,0.69,7.792081925868988,1.113876409442164,0.63
18,0.9032303893435164,0.73,7.792673013210297,1.6569692705715715,0.58
19,0.7893795331835282,0.76,7.768655230998993,0.7047868826147169,0.75
20,1.1773430208477658,0.675,7.799874205589294,1.3043237394699827,0.71
21,1.0816283573693364,0.65,7.778805048465728,0.8837192064337432,0.69
22,0.9748737480782802,0.745,7.792870647907257,1.0124329662532543,0.76
23,0.9016449361518608,0.735,7.795179131031037,0.6740508590376703,0.77
24,0.8777442334825173,0.755,7.796771061420441,1.1286012225392914,0.64
25,1.0482538766099605,0.71,7.791712930202484,0.9557162132888334,0.7
26,0.8294547223493464,0.76,7.782162413597107,0.6117582463502186,0.8
27,0.8786271549994126,0.735,7.778756148815155,0.8892776785917522,0.72
28,0.7087865497304301,0.76,7.798111114501953,0.7279809994425159,0.77
29,0.9436266169860028,0.71,7.772236042022705,0.9011986181127212,0.73
30,0.9635340505407658,0.715,7.780666048526764,1.014977642251506,0.71
31,0.8115771676371151,0.755,7.767516424655914,1.145167982731946,0.69
32,0.9130762839256148,0.74,7.773965058326721,1.1374160894867964,0.78
33,0.8700221630407031,0.775,7.77885862827301,0.6359736385625729,0.81
34,1.0244563499447668,0.725,7.771969635486602,0.6792200153903104,0.77
35,0.9396801447587496,0.73,7.774242506027222,0.6535745533271711,0.84
36,0.9458896906350128,0.735,7.771424055099487,1.1912575253582327,0.69
37,0.862762091009854,0.745,7.777618246078491,0.6748105506001594,0.76
38,0.697886525489443,0.805,7.77857405424118,0.986037498134392,0.74
39,0.9993515745573676,0.74,7.772556803226471,0.49236488932278,0.79
40,0.7890390943804232,0.745,7.7707112550735475,0.8354033890652499,0.73
41,0.8568715652848005,0.735,7.760696141719818,1.1831073354004185,0.73
42,1.0651137348197972,0.75,7.764019939899445,0.5763606085616629,0.82
43,0.8932872710656011,0.765,7.783848898410797,1.4504620555229486,0.68
44,1.1802083788553135,0.715,7.778536181449891,1.3357193664867373,0.65
45,1.1324640323349378,0.705,7.781145815849304,0.9017875130812172,0.78
46,0.9039503745958154,0.755,7.782624461650848,0.8602789938719434,0.77
47,0.7956876075462788,0.78,7.794976885318756,0.6132321569509804,0.83
48,0.8193777626192241,0.77,7.7776397347450255,1.047301550495031,0.65
49,0.7125664306776889,0.81,7.787456402778625,1.1342319495230913,0.69
50,1.3479037365526938,0.71,7.782151520252228,1.8102979453024455,0.65
